nom_prot regne type milieu
AlkoreTOPb_M_B_A8MHD D TOP M 
AlkoreTOPa_M_B_A8MIQ Q TOP M 
LachelTOPz_X_B_A8YV4 4 TOP Y 
DesoleTOPz_M_B_A8ZW1 1 TOP Z 
HeraurTOPz_M_B_A9AYY Y TOP A 
PetmobTOPz_t_B_A9BI4 4 TOP B 
DelaciTOPa_M_B_A9BQC C TOP B 
DelaciTOPb_M_B_A9C2X X TOP C 
SorcelTOPa_M_B_A9FRC C TOP F 
SorcelTOPb_M_B_A9GNF F TOP G 
GludiaTOPz_M_B_A9GZQ Q TOP G 
BorpetTOPb_M_B_A9HVM M TOP H 
BorpetTOPc_M_B_A9IB1 1 TOP I 
BorpetTOPa_M_B_A9IB4 4 TOP I 
BorpetTOPd_M_B_A9IFR R TOP I 
BartriTOPz_M_B_A9IU3 3 TOP I 
ClophyTOPb_M_B_A9KNG G TOP K 
ClophyTOPa_M_B_A9KSH H TOP K 
AchlaiTOPz_M_B_A9NF3 3 TOP N 
BacweiTOPc_M_B_A9VQL L TOP V 
BacweiTOPa_M_B_A9VRN N TOP V 
BacweiTOPb_M_B_A9VT7 7 TOP V 
MetextTOPz_M_B_A9W73 3 TOP W 
ChlaurTOPz_t_B_A9WDH H TOP W 
RensalTOPz_M_B_A9WTD D TOP W 
AcamarTOPb_M_B_B0C3K K TOP C 
AcamarTOPa_M_B_B0CFN N TOP C 
MicaerTOPz_M_B_B0JHS S TOP J 
Thesp.TOPz_t_B_B0K1T T TOP K 
ThepseTOPz_t_B_B0K9V V TOP K 
FinmagTOPa_X_B_B0S18 8 TOP S 
FinmagTOPb_X_B_B0S1Y Y TOP S 
Causp.TOPz_M_B_B0T0I I TOP T 
HelmodTOPa_t_B_B0TFR R TOP T 
HelmodTOPb_t_B_B0TH9 9 TOP T 
ShehalTOPa_P_B_B0TKY Y TOP T 
ShehalTOPb_P_B_B0TP1 1 TOP T 
FraphiTOPz_M_B_B0TZZ Z TOP T 
Metsp.E1TOPb_M_B_B0U U E1T B 
Metsp.E1TOPa_M_B_B0U U E1T B 
CloaciTOPz_X_B_B0VJB B TOP V 
LyssphTOPb_M_B_B1HX0 0 TOP H 
LyssphTOPa_M_B_B1HZX X TOP H 
DesaudTOPz_X_B_B1I25 5 TOP I 
ShewooTOPa_M_B_B1KKN N TOP K 
ShewooTOPb_M_B_B1KNL L TOP K 
MetradTOPz_M_B_B1M0P P TOP M 
MycabsTOPz_M_B_B1MGQ Q TOP M 
LeucitTOPa_M_B_B1MYG G TOP M 
LeucitTOPb_M_B_B1N0C C TOP N 
PhyausTOPz_X_B_B1VAJ J TOP V 
CorureE1TOPz_M_B_B1V V E1T B 
StrgriTOPz_M_B_B1VM2 2 TOP V 
Cyasp.TOPz_M_B_B1WVJ J TOP W 
LepchoTOPz_M_B_B1Y7Q Q TOP Y 
ExisibTOPb_P_B_B1YIB B TOP Y 
ExisibTOPa_P_B_B1YLV V TOP Y 
MetpopTOPz_M_B_B1ZKT T TOP Z 
OpiterTOPb_M_B_B1ZV4 4 TOP Z 
OpiterTOPa_M_B_B1ZYV V TOP Z 
NattheTOPz_t_B_B2A33 3 TOP A 
StemalTOPz_M_B_B2FIS S TOP F 
LacferTOPz_M_B_B2GC5 5 TOP G 
KocrhiTOPz_X_B_B2GH6 6 TOP G 
MycmarTOPz_M_B_B2HJ7 7 TOP H 
BeiindTOPz_M_B_B2IEN N TOP I 
NospunTOPb_X_B_B2IWS S TOP I 
NospunTOPa_X_B_B2J1Q Q TOP J 
BurphyE1TOPz_M_B_B2J J E1T B 
EluminTOPz_M_B_B2KBN N TOP K 
BurphyTOPz_M_B_B2T1K K TOP T 
RalpicTOPz_M_B_B2U7A A TOP U 
AkkmucTOPz_M_B_B2UQJ J TOP U 
Sulsp.E1RGz_t_B_B2V6 6 E1R 2 
Sulsp.E1TOPz_t_B_B2V V E1T B 
ErwtasTOPa_M_B_B2VKR R TOP V 
ErwtasTOPb_M_B_B2VKW W TOP V 
MetinfTOPz_t_B_B3DUF F TOP D 
GeolovTOPz_M_B_B3EAT T TOP E 
ChllimTOPz_M_B_B3EIE E TOP E 
CeljapTOPz_M_B_B3PHK K TOP P 
MycartTOPz_M_B_B3PMD D TOP P 
ChlparTOPz_M_B_B3QLS S TOP Q 
ChlthaTOPz_M_B_B3QUJ J TOP Q 
CuptaiTOPz_M_B_B3R82 2 TOP R 
PromirTOPc_M_B_B4EW2 2 TOP E 
PromirTOPa_M_B_B4EXS S TOP E 
PromirTOPb_M_B_B4EXZ Z TOP E 
PhezucTOPz_M_B_B4R96 6 TOP R 
ProaesTOPz_M_B_B4S6B B TOP S 
PelphaTOPz_M_B_B4SH0 0 TOP S 
StrequTOPz_X_B_B4U2W W TOP U 
Hydsp.TOPz_t_B_B4U9A A TOP U 
GeobemTOPz_M_B_B5EHR R TOP E 
BordutTOPz_P_B_B5RN2 2 TOP R 
BorrecTOPz_M_B_B5RQG G TOP R 
CopproTOPz_t_B_B5Y9I I TOP Y 
DictheRGz_t_B_B5YAR0 0 RGz A 
DictheTOPz_t_B_B5YFC C TOP Y 
TheyelTOPz_t_B_B5YKX X TOP Y 
UreureTOPz_M_B_B5ZCA A TOP Z 
AlisalTOPa_P_B_B6EIH H TOP E 
AlisalTOPb_P_B_B6EJI I TOP E 
RhocenTOPz_M_B_B6IN3 3 TOP I 
AzopseTOPz_X_B_B6YQH H TOP Y 
AnoflaTOPa_t_B_B7GGC C TOP G 
AnoflaTOPb_t_B_B7GJP P TOP G 
TheafrTOPz_t_B_B7ICM M TOP I 
