nom_prot regne type milieu
HparE1TOPb_M_B B TOP M 
HaeparTOPa_X_B B TOP X 
HaeparTOPb_X_B B TOP X 
HaeparTOPc_X_B B TOP X 
HahcheTOPz_M_B B TOP M 
HalborTOPz_X_A A TOP X 
HaleloTOPa_X_B B TOP X 
HaleloTOPb_X_B B TOP X 
HaleloTOPc_X_B B TOP X 
HalhalTOPz_X_B B TOP X 
HalhisTOPz_X_A A TOP X 
HhydE1TOPz_M_B B TOP M 
HalhydTOPz_X_B B TOP X 
HaljeoTOPz_X_A A TOP X 
HallacTOPz_M_A A TOP M 
HalmarTOPz_M_A A TOP M 
HalmukTOPz_M_A A TOP M 
HalneaTOPa_X_B B TOP X 
HalneaTOPb_X_B B TOP X 
HalochTOPa_M_B B TOP M 
HalochTOPb_M_B B TOP M 
HaloreTOPz_T_B B TOP T 
HalpraTOPz_M_B B TOP M 
HalsalTOPz_T_A A TOP T 
HalturTOPz_X_A A TOP X 
HalutaTOPz_M_A A TOP M 
HalvolTOPz_X_A A TOP X 
HalwalTOPz_X_A A TOP X 
HalxanTOPz_X_A A TOP X 
