prot_1 prot_2 force
DehlykTOPz_M_B AmicolTOPz_M_B 20 
DehlykTOPz_M_B AnathmTOPz_X_B 21 
DehlykTOPz_M_B AquaeoTOPz_T_B 20 
DehlykTOPz_M_B BacfraTOPa_M_B 20 
DehlykTOPz_M_B BarbacTOPz_M_B 21 
DehlykTOPz_M_B BruaboTOPz_M_B 21 
DehlykTOPz_M_B CalsacTOPz_T_B 20 
DehlykTOPz_M_B CamjejTOPz_M_B 20 
DehlykTOPz_M_B CammedTOPz_T_B 20 
DehlykTOPz_M_B ChlaurTOPz_T_B 21 
DehlykTOPz_M_B ChllimTOPz_M_B 20 
DehlykTOPz_M_B ChlpneTOPz_X_B 20 
DehlykTOPz_M_B ChrvioTOPz_M_B 21 
DehlykTOPz_M_B CoxburTOPz_M_B 21 
Dehsp.TOPz_M_B AcicapTOPz_M_B 20 
Dehsp.TOPz_M_B AciferTOPa_M_B 21 
Dehsp.TOPz_M_B AmicolTOPz_M_B 20 
Dehsp.TOPz_M_B AnathmTOPz_X_B 21 
Dehsp.TOPz_M_B AquaeoTOPz_T_B 20 
Dehsp.TOPz_M_B BacfraTOPa_M_B 20 
Dehsp.TOPz_M_B BarbacTOPz_M_B 21 
Dehsp.TOPz_M_B BruaboTOPz_M_B 21 
Dehsp.TOPz_M_B CalsacTOPz_T_B 20 
Dehsp.TOPz_M_B CamjejTOPz_M_B 20 
Dehsp.TOPz_M_B CammedTOPz_T_B 20 
Dehsp.TOPz_M_B ChlaurTOPz_T_B 21 
Dehsp.TOPz_M_B ChllimTOPz_M_B 20 
Dehsp.TOPz_M_B ChlpneTOPz_X_B 20 
Dehsp.TOPz_M_B ChrvioTOPz_M_B 21 
Dehsp.TOPz_M_B CoxburTOPz_M_B 21 
Dehsp.TOPz_M_B DehlykTOPz_M_B 21 
DeigeoTOPz_M_B AcamarTOPb_M_B 20 
DeigeoTOPz_M_B AcicelTOPz_T_B 21 
DeigeoTOPz_M_B AciferTOPz_T_B 21 
DeigeoTOPz_M_B ArtplaTOPz_M_B 20 
DeigeoTOPz_M_B CordipTOPz_M_B 21 
DeigeoTOPz_M_B Cyasp.TOPa_M_B 20 
DeiradTOPz_M_B AcamarTOPb_M_B 20 
DeiradTOPz_M_B AcicelTOPz_T_B 21 
DeiradTOPz_M_B AciferTOPz_T_B 21 
DeiradTOPz_M_B ArtplaTOPz_M_B 20 
DeiradTOPz_M_B CordipTOPz_M_B 21 
DeiradTOPz_M_B Cyasp.TOPa_M_B 20 
DeiradTOPz_M_B DeigeoTOPz_M_B 21 
DenaceTOPz_M_B AcicapTOPz_M_B 21 
DenaceTOPz_M_B AciferTOPa_M_B 20 
DenaceTOPz_M_B AmicolTOPz_M_B 21 
DenaceTOPz_M_B AnathmTOPz_X_B 20 
DenaceTOPz_M_B AquaeoTOPz_T_B 21 
DenaceTOPz_M_B BacfraTOPa_M_B 21 
DenaceTOPz_M_B BarbacTOPz_M_B 20 
DenaceTOPz_M_B BaucicTOPz_X_B 16 
DenaceTOPz_M_B BruaboTOPz_M_B 20 
DenaceTOPz_M_B CalsacTOPz_T_B 20 
DenaceTOPz_M_B CamjejTOPz_M_B 21 
DenaceTOPz_M_B CammedTOPz_T_B 21 
DenaceTOPz_M_B ChlaurTOPz_T_B 20 
DenaceTOPz_M_B ChllimTOPz_M_B 21 
DenaceTOPz_M_B ChlpneTOPz_X_B 21 
DenaceTOPz_M_B ChrvioTOPz_M_B 20 
DenaceTOPz_M_B CoxburTOPz_M_B 20 
DenaceTOPz_M_B DehlykTOPz_M_B 20 
DenaceTOPz_M_B Dehsp.TOPz_M_B 20 
DesindTOPz_X_B AcicapTOPz_M_B 20 
DesindTOPz_X_B AciferTOPa_M_B 20 
DesindTOPz_X_B AmicolTOPz_M_B 20 
DesindTOPz_X_B AnathmTOPz_X_B 20 
DesindTOPz_X_B AquaeoTOPz_T_B 20 
